1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
1466	-0.705373	27.634022	75.546895	0.001897	0.9
1467	-0.714694	27.169901	76.274795	0.001845	1.0
1468	-0.706358	26.778086	76.900304	0.003530	1.1
1469	-0.695078	26.725012	76.985824	0.001569	0.9
1470	-0.703461	27.669668	75.491564	0.002552	0.8
1471	-0.695843	28.458451	74.287594	0.001998	0.9
1472	-0.685237	27.968821	75.030382	0.001818	0.8
1473	-0.713467	28.679470	73.957096	0.004534	0.8
1474	-0.708507	28.177416	74.712126	0.001464	0.9
1475	-0.699347	28.165198	74.730694	0.001333	0.8
1476	-0.691277	27.839387	75.229226	0.001559	0.8
1477	-0.707452	27.801256	75.288008	0.002623	0.8
1478	-0.692363	27.963551	75.038458	0.001135	0.8
1479	-0.701025	27.556222	75.667940	0.002280	0.9
1480	-0.697282	27.604312	75.593074	0.002834	0.8
1481	-0.696683	27.412666	75.892316	0.002971	0.9
1482	-0.699469	28.407444	74.364287	0.002247	1.0
1483	-0.697751	27.954050	75.053021	0.001707	1.0
1484	-0.704786	28.568810	74.122202	0.001575	0.9
1485	-0.680090	28.290498	74.540723	0.002177	0.9
1486	-0.718508	28.096013	74.836002	0.001796	0.8
1487	-0.703266	27.622362	75.565011	0.001085	0.8
1488	-0.703601	27.704210	75.438024	0.001944	0.8
1489	-0.687083	27.919615	75.105852	0.003646	0.9
1490	-0.698163	28.900813	73.629048	0.001177	0.8
1491	-0.709596	28.749767	73.852594	0.001689	0.9
1492	-0.707667	28.707851	73.914870	0.001671	0.8
1493	-0.695181	28.286578	74.546651	0.003234	0.8
1494	-0.679733	28.916989	73.605187	0.001399	0.8
1495	-0.713685	29.820279	72.296914	0.002072	0.9
1496	-0.707027	29.384678	72.921958	0.002312	0.8
1497	-0.682223	29.933029	72.136870	0.002789	0.9
1498	-0.720724	30.732567	71.021980	0.002898	0.9
1499	-0.697376	31.131692	70.478229	0.002260	1.1
1500	-0.702064	32.092814	69.202384	0.002193	1.0
1501	-0.707544	32.330204	68.894342	0.002669	0.9
1502	-0.698591	31.830619	69.545832	0.001887	0.8
1503	-0.691652	32.596474	68.552072	0.002561	1.1
1504	-0.708996	32.583945	68.568101	0.002580	0.9
1505	-0.706412	32.133904	69.148868	0.002399	0.8
1506	-0.702140	31.638837	69.799211	0.001805	0.8
1507	-0.700617	31.414070	70.098532	0.002018	0.8
1508	-0.700903	31.580888	69.876137	0.001296	0.8
1509	-0.711552	31.630362	69.810452	0.001942	0.9
1510	-0.709261	31.660396	69.770636	0.002782	0.9
1511	-0.721454	31.987886	69.339421	0.001449	0.8
1512	-0.700632	31.531759	69.941487	0.002204	1.1
1513	-0.720720	31.616088	69.829391	0.002406	1.1
1514	-0.711858	31.910112	69.441345	0.004135	2.1
1515	-0.724867	31.408200	70.106383	0.001832	1.0
1516	-0.709641	32.379857	68.830258	0.001450	1.5
1517	-0.692191	32.055602	69.250921	0.003631	0.9
1518	-0.707837	31.904666	69.448493	0.002717	0.9
1519	-0.708573	31.425691	70.082993	0.002033	0.8
1520	-0.715872	30.935274	70.744776	0.003212	0.8
1521	-0.713562	31.917302	69.431910	0.001573	0.8
1522	-0.697039	31.700236	69.717892	0.001827	0.8
1523	-0.702912	31.747605	69.655283	0.001464	0.8
1524	-0.719023	31.579245	69.878320	0.003171	0.9
1525	-0.709105	31.140197	70.466733	0.002229	0.9
1526	-0.694138	30.638566	71.151266	0.002655	0.9
1527	-0.720695	30.138105	71.847585	0.002012	0.9
1528	-0.698219	29.655198	72.532524	0.003527	0.9
1529	-0.709305	29.171495	73.231809	0.001177	0.9
1530	-0.712671	28.913986	73.609616	0.002141	0.8
1531	-0.707545	28.506267	74.215844	0.001683	0.9
1532	-0.706406	28.694796	73.934288	0.001614	0.9
1533	-0.704817	28.708617	73.913731	0.001626	0.9
1534	-0.703444	28.330974	74.479562	0.002178	0.8
1535	-0.716601	28.762646	73.833479	0.001917	0.8
1536	-0.711982	29.248870	73.119044	0.002610	0.8
1537	-0.701809	28.959896	73.541973	0.004192	0.9
1538	-0.713076	29.949867	72.113031	0.001418	0.8
1539	-0.715179	29.463573	72.807950	0.003097	0.8
1540	-0.689954	30.361543	71.535027	0.002071	0.9
1541	-0.695345	31.019932	70.629645	0.001828	0.9
1542	-0.685641	30.765868	70.976291	0.002869	0.9
1543	-0.710265	31.002344	70.653533	0.002451	0.9
1544	-0.699434	30.500924	71.341426	0.001714	1.0
1545	-0.716837	30.029044	72.001140	0.004315	1.0
1546	-0.712501	30.041234	71.983944	0.001785	0.8
1547	-0.705824	30.143557	71.839926	0.001482	0.9
1548	-0.684900	30.609735	71.191013	0.002054	0.8
1549	-0.700562	31.265187	70.298214	0.001995	0.9
1550	-0.701929	31.946172	69.394050	0.002241	0.8
1551	-0.697244	31.536809	69.934764	0.001399	0.8
1552	-0.699090	31.200946	70.384727	0.001664	0.9
1553	-0.698766	31.033162	70.611686	0.001718	0.8
1554	-0.699763	30.851450	70.859143	0.003565	0.9
1555	-0.711731	30.354837	71.544367	0.002547	1.0
1556	-0.695522	29.852767	72.250726	0.002307	0.9
1557	-0.698413	29.361684	72.955251	0.001647	0.9
1558	-0.720605	30.020837	72.012722	0.002330	1.0
1559	-0.711307	29.555047	72.676212	0.001232	0.9
1560	-0.715326	29.311209	73.028445	0.002976	0.9
1561	-0.713120	28.924528	73.594072	0.002035	0.9
1562	-0.716594	29.866601	72.231077	0.003286	0.8
1563	-0.693637	29.365891	72.949158	0.001633	0.9
1564	-0.706666	29.389929	72.914358	0.002795	0.9
1565	-0.707866	29.206797	73.180318	0.001871	0.9
1566	-0.699373	29.462839	72.809010	0.002920	0.9
1567	-0.712644	29.588927	72.627541	0.002652	0.8
1568	-0.686326	29.783423	72.349383	0.003415	0.9
1569	-0.705659	30.782801	70.953082	0.002861	1.0
1570	-0.704296	31.543750	69.925526	0.001819	0.9
1571	-0.704257	32.530042	68.637146	0.002909	0.8
1572	-0.701746	33.454015	67.472515	0.001839	0.8
1573	-0.708622	34.058865	66.731295	0.002075	0.8
1574	-0.698016	34.979388	65.633968	0.001157	0.9
1575	-0.703351	34.796394	65.849225	0.003297	0.9
1576	-0.704403	35.164090	65.418122	0.002040	0.9
1577	-0.708363	36.117076	64.326635	0.002818	0.9
1578	-0.691618	36.409598	63.998868	0.002568	0.9
1579	-0.711206	36.354143	64.060749	0.002088	0.9
1580	-0.699578	35.856547	64.621394	0.003518	0.9
1581	-0.695393	36.847803	63.514069	0.002089	0.8
1582	-0.715507	36.461031	63.941584	0.002305	0.9
1583	-0.697760	37.405467	62.907627	0.002301	1.0
1584	-0.693603	38.319233	61.938584	0.002477	0.8
1585	-0.693735	37.823197	62.460892	0.001856	0.9
1586	-0.700734	38.298117	61.960641	0.001022	0.8
1587	-0.696701	37.996333	62.277588	0.001401	0.8
1588	-0.725694	37.769507	62.517954	0.002671	0.8
1589	-0.714011	37.540875	62.762118	0.002802	0.8
1590	-0.716380	38.398983	61.855425	0.001344	0.8
1591	-0.701130	38.380835	61.874330	0.001833	0.9
1592	-0.700766	38.163396	62.101732	0.001937	0.9
1593	-0.714731	37.859446	62.422425	0.003372	0.9
1594	-0.709784	37.368456	62.947517	0.002174	0.9
1595	-0.692901	37.391317	62.922871	0.001499	0.9
1596	-0.725556	36.961963	63.388974	0.002250	0.9
1597	-0.695020	37.529595	62.774215	0.002523	0.9
1598	-0.728063	38.457908	61.794124	0.002174	0.9
1599	-0.693537	39.422586	60.807549	0.002115	0.8
1600	-0.712337	39.597037	60.632492	0.002997	0.9
